MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
300,1000,4000,8,3,64,,38
180,2000,16000,16,1,6,,66
26,16000,32000,64,16,24,,465
320,512,5000,4,1,5,,77
185,2000,16000,16,1,6,,76
25,2000,12000,16,3,5,,66
160,2000,8000,32,1,13,,109
35,8000,32000,64,8,24,,370
38,4000,8000,32,16,32,,116
175,256,2000,0,3,24,,22
38,16000,32000,128,16,32,,510
52,4000,16000,32,4,12,,130
800,256,8000,0,1,4,,14
160,1000,8000,16,1,14,,60
900,1000,4000,4,1,2,,18
50,2620,10480,30,12,24,,63
75,2000,8000,8,3,24,,62
110,5000,5000,142,8,64,,120
75,2000,8000,64,1,38,,144
810,1000,5000,0,1,1,,20
143,3100,6200,0,5,20,18.0,33
38,8000,32000,64,8,24,,326
1100,768,2000,0,1,1,,13
92,2000,8000,4,1,6,,50
300,768,3000,0,6,24,,36
225,1000,4000,2,3,6,,24
38,8000,16000,64,4,8,,100
133,1000,12000,9,3,12,,72
