MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
57,4000,24000,64,12,16,,237
800,256,8000,0,1,4,,20
35,8000,32000,64,8,24,,370
140,2000,4000,8,1,20,,35
160,512,4000,2,1,5,,30
50,2000,32000,48,26,52,,208
240,512,1000,8,1,3,,6
800,256,8000,0,1,4,,16
300,192,768,6,6,24,,36
72,4000,16000,64,8,16,,143
50,500,2000,8,1,4,,20
330,1000,3000,0,2,4,,16
160,512,2000,2,3,8,,32
105,256,2000,0,3,10,,26
125,512,1000,0,8,20,,36
50,2000,16000,8,3,5,,40
115,2000,4000,2,1,5,,40
400,512,3500,4,1,6,,40
50,2000,32000,112,52,104,,307
48,4000,24000,32,8,24,,214
17,4000,16000,32,6,12,,133
480,96,512,0,1,1,,6
160,1000,4000,8,1,14,,38
50,2000,16000,24,1,6,,80
50,1000,4000,8,1,5,,29
203,1000,2000,0,1,5,35.0,24
26,8000,32000,0,8,24,,277
220,1000,8000,16,1,2,,71
320,256,3000,4,1,3,-5.0,27
72,2000,8000,16,6,8,4.0,105
140,2000,8000,32,1,54,,66
400,1000,3000,0,1,2,,38
105,1000,4000,0,3,24,,32
330,1000,2000,0,1,2,,16
40,8000,16000,32,8,16,,214
320,128,6000,0,1,12,,23
250,512,4000,0,4,7,,50
30,16000,32000,256,16,24,0.0,510
900,1000,4000,4,1,2,,18
300,1000,4000,8,3,64,,38
225,2000,4000,8,3,6,,40
25,2000,12000,8,1,4,,49
75,2000,8000,8,3,24,,62
26,8000,24000,32,8,16,,173
320,512,2000,4,1,3,,69
320,512,5000,4,1,5,,77
23,16000,32000,64,16,32,30.0,489
900,2000,4000,0,3,6,,37
250,512,4000,0,1,7,,25
38,4000,16000,128,16,32,,212
26,8000,32000,64,8,32,,318
600,768,2000,0,1,1,,16
160,1000,8000,16,1,14,,60
800,256,8000,0,1,4,,22
133,1000,8000,9,3,12,,72
185,2000,16000,16,1,6,,76
900,1000,1000,0,1,2,,11
110,1000,4000,16,1,2,,26
125,256,6000,256,16,128,,198
56,2000,6000,0,1,8,,21
800,256,8000,0,1,4,,14
98,1000,8000,32,2,8,,46
180,262,4000,0,1,3,,18
200,2000,8000,64,1,5,,41
180,768,12000,6,1,31,,84
180,512,4000,0,1,3,,21
92,2000,8000,32,1,6,,62
250,1000,16000,1,1,8,,50
700,384,8000,0,1,1,20.0,24
180,2000,16000,16,1,6,,66
140,2000,32000,32,1,20,,134
110,1000,12000,16,1,2,,60
38,8000,32000,64,8,24,,326
125,2000,8000,0,2,14,,52
160,2000,8000,32,1,13,,109
26,8000,16000,0,8,16,-1.0,185
700,256,2000,0,1,1,,24
112,1000,1000,0,1,4,,8
140,2000,32000,32,1,54,,189
200,512,8000,8,1,8,,62
30,8000,64000,96,12,176,,915
480,512,8000,32,0,0,,67
167,524,2000,8,4,15,,19
140,2000,4000,0,3,6,,29
30,8000,64000,128,12,176,,1150
50,2000,8000,8,1,6,,56
57,4000,16000,1,6,12,,132
143,512,5000,0,7,32,,28
50,2000,8000,8,1,5,,71
300,384,12000,6,1,24,,53
200,512,16000,0,4,32,,35
23,16000,32000,64,16,32,,367
75,4000,16000,16,1,6,,66
200,1000,4000,0,1,4,,30
810,1000,5000,0,1,1,,20
150,512,4000,0,8,128,,30
38,8000,24000,160,4,8,,140
330,1000,4000,0,3,6,,22
1100,768,2000,0,1,1,,13
75,2000,16000,64,1,38,,144
400,2000,4000,0,1,1,,32
50,4000,32000,112,52,104,,397
25,1310,2620,131,12,24,,368
115,2000,8000,16,1,3,27.0,50
17,4000,16000,8,6,12,14.0,100
350,64,64,0,1,4,,10
300,768,4500,0,1,24,,45
143,1500,6300,0,5,32,,30
25,1310,2620,131,12,24,4.0,274
56,4000,8000,0,1,8,,34
64,5240,20970,30,12,24,,208
56,5240,20970,30,12,24,,106
115,512,6000,16,1,6,,45
240,512,2000,8,1,5,,11
29,8000,16000,32,8,16,,132
180,262,4000,0,1,3,,12
1100,512,1500,0,1,1,37.0,7
900,512,1000,0,1,2,,11
320,512,8000,4,1,5,,40
116,2000,8000,32,5,28,,70
1500,768,1000,0,0,0,,12
26,16000,32000,64,8,24,,465
25,2000,12000,16,3,5,,66
320,256,5000,4,1,6,,27
124,1000,8000,0,1,8,,42
143,3100,6200,0,5,20,,33
143,1000,2000,0,5,16,,31
59,4000,12000,32,6,12,,113
143,2300,6200,0,6,64,,61
38,4000,8000,32,16,32,,116
175,256,2000,0,3,24,,22
225,1000,4000,2,3,6,,24
50,2000,16000,8,3,6,,52
56,4000,16000,0,1,8,,46
480,1000,4000,0,0,0,,45
300,768,12000,6,6,24,,50
50,2000,16000,8,3,6,,60
38,16000,32000,128,16,32,,510
50,2000,16000,12,3,16,38.0,45
800,768,2000,0,0,0,,20
110,3100,6200,0,6,64,,76
140,2000,4000,0,4,8,,40
1500,768,2000,0,0,0,,18
300,768,3000,6,6,24,,44
