MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
59,4000,12000,32,6,12,,113
143,3100,6200,0,5,20,,33
700,256,2000,0,1,1,,24
320,512,8000,4,1,5,,40
26,16000,32000,64,16,24,,465
40,8000,32000,64,8,24,,277
105,256,2000,0,3,10,,26
30,8000,64000,128,12,176,,1150
250,1000,16000,1,1,8,,50
330,1000,4000,0,3,6,,22
29,8000,32000,32,8,32,,269
50,4000,16000,65,1,8,,138
105,2000,4000,8,3,19,,32
26,8000,32000,128,24,32,,405
320,256,3000,4,1,3,,27
50,4000,32000,112,52,104,,397
60,4000,16000,64,5,8,,93
240,512,2000,8,1,5,,11
167,524,2000,8,4,15,13.0,19
72,2000,8000,16,6,8,,105
900,2000,4000,0,3,6,,37
180,262,4000,0,1,3,,18
75,2000,8000,8,3,24,,62
200,512,8000,8,1,8,,62
143,1500,6300,0,5,32,,30
50,2000,16000,24,6,16,,65
180,512,4000,0,1,3,,14
160,1000,4000,8,1,14,,38
133,1000,12000,9,3,12,,72
90,256,1000,0,3,10,30.0,17
50,8000,16000,48,1,10,25.0,136
100,1000,8000,0,2,6,,16
180,2000,16000,16,1,6,37.0,66
800,768,2000,0,0,0,,20
480,1000,4000,0,0,0,,45
300,768,12000,6,6,24,,50
84,1000,2000,0,1,6,-1.0,12
143,512,5000,0,7,32,,28
105,2000,8000,16,4,14,,58
50,2000,8000,8,1,6,,56
50,2620,10480,30,12,24,,63
320,512,5000,4,1,5,,77
115,2000,8000,16,1,3,,50
300,768,4500,0,1,24,,45
17,4000,16000,8,6,12,,100
300,384,12000,6,1,24,,53
140,2000,4000,8,1,20,,35
50,2000,16000,24,1,6,22.0,70
800,256,8000,0,1,4,,12
185,2000,16000,16,1,6,,76
800,256,8000,0,1,4,,20
700,384,8000,0,1,1,,24
50,2000,16000,24,1,6,,80
64,5240,20970,30,12,24,,208
400,512,3500,4,1,6,,40
320,256,6000,0,1,6,,33
40,8000,16000,32,8,16,,214
900,512,1000,0,1,2,,11
105,2000,6000,16,6,16,,33
50,2000,16000,8,3,6,,60
225,2000,4000,8,3,6,,40
26,8000,32000,0,8,24,,277
200,1000,8000,0,1,2,,36
105,2000,4000,8,3,8,,22
50,1000,4000,8,3,5,,26
75,2000,8000,64,1,38,,144
92,2000,8000,4,1,6,,50
330,1000,3000,0,2,4,,16
50,2000,4000,0,3,6,,27
140,2000,32000,32,1,20,,134
800,256,8000,0,1,4,,16
160,1000,8000,16,1,14,,60
57,4000,16000,1,6,12,,132
52,4000,16000,32,4,12,,130
75,4000,16000,16,1,6,,66
300,1000,16000,8,2,112,,38
200,1000,4000,0,1,4,,30
50,500,2000,8,1,4,,20
56,4000,16000,0,1,8,,46
50,2000,16000,8,3,6,,52
225,2000,4000,8,3,6,,34
38,4000,8000,32,16,32,,116
38,16000,32000,128,16,32,,510
225,1000,4000,2,3,6,,24
59,8000,16000,64,12,24,,188
25,2000,12000,16,3,5,,66
480,512,8000,32,0,0,,67
250,512,4000,0,4,7,,50
400,1000,3000,0,1,2,,38
110,5000,5000,142,8,64,,120
900,1000,4000,4,1,2,,18
140,1000,16000,16,1,3,26.0,138
800,256,8000,0,1,4,,22
60,2000,16000,64,5,8,,74
600,768,2000,0,1,1,8.0,16
25,1310,2620,131,12,24,,368
143,2300,6200,0,6,64,,61
23,16000,64000,64,16,32,,636
180,768,12000,6,1,31,,84
160,512,2000,2,3,8,,32
150,512,4000,0,8,128,,30
810,1000,5000,0,1,1,,20
35,8000,32000,64,8,24,,370
98,1000,8000,32,2,8,,46
110,1000,4000,16,1,2,,26
203,1000,2000,0,1,5,,24
240,512,1000,8,1,3,,6
100,1000,8000,24,2,6,13.0,26
26,16000,32000,64,8,24,,465
50,4000,16000,64,5,10,,111
50,2000,16000,8,3,5,,40
38,4000,8000,32,16,32,,51
125,512,1000,0,8,20,,36
26,8000,32000,64,12,16,29.0,248
140,2000,4000,0,4,8,,40
110,1000,12000,16,1,2,,60
133,1000,8000,9,3,12,,72
180,512,4000,0,1,3,,21
1500,768,2000,0,0,0,-2.0,18
50,1000,8000,8,3,5,,36
143,1000,2000,0,5,16,,31
480,96,512,0,1,1,22.0,6
75,2000,16000,64,1,38,,144
320,256,5000,4,1,6,,27
350,64,64,0,1,4,,10
300,768,3000,6,6,24,,44
160,512,4000,2,1,5,,30
92,2000,8000,32,1,6,,60
100,1000,8000,24,3,6,,32
30,8000,64000,96,12,176,,915
50,2000,8000,8,3,6,,45
70,4000,12000,8,6,8,,75
140,2000,8000,32,1,54,,66
29,8000,32000,32,8,32,,172
50,2000,16000,24,6,16,,54
26,8000,32000,64,8,32,,318
180,262,4000,0,1,3,,12
125,256,6000,256,16,128,29.0,198
23,16000,32000,64,16,32,,367
140,2000,4000,0,3,6,,29
900,1000,4000,8,1,2,,22
800,256,8000,0,1,4,,14
125,2000,8000,0,2,14,,52
300,768,3000,0,6,24,,36
810,512,512,8,1,1,,18
23,16000,32000,64,16,32,,489
