MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
320,256,6000,0,1,6,,33
800,256,8000,0,1,4,,22
38,4000,8000,32,16,32,,116
220,1000,8000,16,1,2,,71
250,1000,16000,1,1,8,,50
167,524,2000,8,4,15,,19
160,512,4000,2,1,5,,30
180,2000,8000,8,1,6,,50
17,4000,16000,8,6,12,,100
800,768,2000,0,0,0,,20
57,4000,24000,64,12,16,,237
56,4000,8000,0,1,8,,34
225,1000,4000,2,3,6,,24
800,256,8000,0,1,4,,14
84,1000,2000,0,1,6,,12
50,500,2000,8,1,4,,20
50,2620,10480,30,12,24,,32
800,256,8000,0,1,4,,12
100,1000,8000,24,3,6,,32
50,2000,16000,24,6,16,,54
50,4000,16000,64,5,10,,111
56,2000,6000,0,1,8,,21
17,4000,16000,32,6,12,,133
26,16000,32000,64,8,24,,465
330,1000,4000,0,3,6,,22
56,1000,4000,0,1,6,,17
800,256,8000,0,1,4,,20
400,512,3500,4,1,6,,40
700,384,8000,0,1,1,,24
40,8000,32000,64,8,24,,277
133,1000,12000,9,3,12,,72
143,2300,6200,0,6,64,,61
30,16000,32000,256,16,24,,510
29,8000,16000,32,8,16,,132
50,1000,8000,8,3,5,,36
200,1000,4000,0,1,4,,30
143,1500,6300,0,5,32,,30
50,2000,32000,112,52,104,,307
23,16000,32000,64,16,32,,489
26,16000,32000,64,16,24,,465
200,1000,2000,0,1,2,,25
50,2000,16000,12,3,16,,45
143,1000,2000,0,5,16,,31
38,4000,8000,32,16,32,,51
300,768,3000,6,6,24,,44
300,768,3000,0,6,24,6.0,36
1500,768,2000,0,0,0,,18
75,2000,8000,64,1,38,,144
105,2000,4000,8,3,19,,32
105,2000,4000,8,3,8,,22
140,2000,4000,8,1,20,4.0,22
320,256,3000,4,1,3,,27
40,8000,16000,32,8,16,,214
180,262,4000,0,1,3,,18
110,1000,4000,16,1,2,,26
50,2000,16000,8,3,6,,52
180,768,12000,6,1,31,,84
50,2000,16000,8,3,5,,40
320,512,2000,4,1,3,,69
320,512,8000,4,1,5,,40
300,1000,4000,8,3,64,,38
60,2000,16000,64,5,8,,74
200,2000,8000,64,1,5,,41
50,4000,16000,65,1,8,,138
180,512,4000,0,1,3,,14
250,512,4000,0,4,7,,50
59,4000,12000,32,6,12,27.0,113
56,5240,20970,30,12,24,,106
1100,512,1500,0,1,1,,7
56,4000,12000,0,1,8,,42
160,1000,8000,16,1,14,,60
50,2000,8000,8,1,5,,71
90,256,1000,0,3,10,,17
200,1000,8000,0,1,2,,36
23,32000,64000,128,32,64,,1144
330,1000,3000,0,2,4,,16
143,3100,6200,0,5,20,,33
38,8000,16000,64,4,8,,100
140,2000,8000,32,1,54,,66
225,2000,4000,8,3,6,,40
180,2000,16000,16,1,6,,66
160,2000,8000,32,1,13,,109
180,262,4000,0,1,3,,12
60,4000,16000,64,5,8,,93
105,2000,8000,16,4,14,,58
200,512,8000,8,1,8,18.0,62
25,2000,12000,16,3,5,,66
50,8000,16000,48,1,10,,136
56,2000,8000,0,1,8,16.0,24
50,2000,16000,24,1,6,,70
112,1000,1000,0,1,4,,8
125,512,1000,0,8,20,-1.0,36
50,4000,32000,112,52,104,,397
38,8000,32000,64,8,24,,326
110,3100,6200,0,6,64,,76
140,2000,32000,32,1,54,,189
98,1000,8000,32,2,8,,46
38,8000,24000,160,4,8,,140
100,1000,8000,24,2,6,,26
75,2000,16000,64,1,38,,144
38,16000,32000,128,16,32,18.0,510
400,4000,8000,0,1,1,,32
23,16000,64000,64,16,32,,636
124,1000,8000,0,1,8,,42
115,512,6000,16,1,6,,45
900,2000,4000,0,3,6,,37
23,16000,32000,64,16,32,6.0,367
810,1000,5000,0,1,1,,20
133,1000,8000,9,3,12,,72
180,512,4000,0,1,3,,21
48,4000,24000,32,8,24,,214
175,256,2000,0,3,24,,22
50,2000,4000,0,3,6,,27
115,2000,4000,2,1,5,33.0,40
57,4000,16000,1,6,12,,132
185,2000,16000,16,1,6,,76
105,1000,4000,0,3,24,,32
29,8000,32000,32,8,32,,172
72,4000,16000,64,8,16,,143
60,2000,8000,65,1,8,,92
116,2000,8000,32,5,28,,70
140,2000,4000,0,4,8,,40
50,2000,32000,24,6,26,,114
140,2000,32000,32,1,54,,141
25,1310,2620,131,12,24,,368
480,512,8000,32,0,0,,67
240,512,1000,8,1,3,,6
900,1000,4000,8,1,2,,22
72,2000,8000,16,6,8,,105
59,8000,16000,64,12,24,,188
29,8000,32000,32,8,32,,269
140,2000,4000,0,3,6,,29
140,1000,16000,16,1,3,,138
240,512,2000,8,1,5,,11
1100,768,2000,0,1,1,,13
50,2620,10480,30,12,24,,63
900,1000,1000,0,1,2,,11
50,1000,4000,8,1,5,,29
26,8000,32000,64,12,16,,248
480,1000,4000,0,0,0,,45
480,96,512,0,1,1,,6
30,8000,64000,128,12,176,16.0,1150
