MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
26,8000,32000,0,8,24,,277
38,16000,32000,128,16,32,,510
124,1000,8000,0,1,8,,42
60,2000,8000,65,1,8,,92
26,8000,16000,0,8,16,,185
140,2000,32000,32,1,20,,134
56,4000,8000,0,1,8,,34
50,1000,8000,8,3,5,,36
140,2000,4000,8,1,20,,35
25,2000,12000,8,1,4,,49
50,2000,16000,8,3,5,,40
200,1000,8000,0,1,2,,36
84,1000,2000,0,1,6,,12
29,8000,32000,32,8,32,,172
140,1000,16000,16,1,3,,138
29,8000,16000,32,8,16,,132
140,2000,4000,0,3,6,,29
59,8000,16000,64,12,24,,188
480,96,512,0,1,1,,6
810,1000,5000,0,1,1,,20
26,8000,32000,64,8,32,,318
50,500,2000,8,1,4,,20
160,2000,8000,32,1,13,,109
26,8000,32000,128,24,32,,405
900,1000,4000,8,1,2,,22
180,512,4000,0,1,3,,21
1500,768,2000,0,0,0,,18
59,4000,12000,32,6,12,,113
700,256,2000,0,1,1,,24
400,1000,3000,0,1,2,,38
50,2000,16000,24,1,6,,80
810,512,512,8,1,1,,18
25,2000,12000,16,3,5,,66
320,512,8000,4,1,5,,40
75,2000,8000,8,3,24,,62
200,1000,4000,0,1,4,,30
30,8000,64000,128,12,176,,1150
300,192,768,6,6,24,,36
300,768,3000,0,6,24,,36
180,262,4000,0,1,3,,12
50,2000,16000,24,1,6,,70
480,512,8000,32,0,0,,67
56,2000,6000,0,1,8,,21
72,2000,8000,16,6,8,,105
800,256,8000,0,1,4,,20
50,2000,8000,8,1,5,,71
