MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,TEMPPER,TARGET
1100,512,1500,0,1,1,,7
900,2000,4000,0,3,6,,37
900,512,1000,0,1,2,,11
92,2000,8000,32,1,6,,60
50,8000,16000,48,1,10,,136
105,2000,6000,16,6,16,,33
26,8000,24000,32,8,16,,173
320,512,2000,4,1,3,25.0,69
143,512,5000,0,7,32,,28
57,4000,24000,64,12,16,,237
56,5240,20970,30,12,24,,106
330,1000,2000,0,1,2,,16
320,512,8000,4,1,5,26.0,40
50,500,2000,8,1,4,,20
23,32000,64000,128,32,64,-1.0,1144
200,512,16000,0,4,32,,35
50,2000,32000,48,26,52,,208
100,1000,8000,0,2,6,,16
115,512,6000,16,1,6,,45
75,2000,16000,64,1,38,,144
180,262,4000,0,1,3,,18
250,512,4000,0,1,7,,25
1500,768,2000,0,0,0,,18
26,8000,32000,128,24,32,,405
140,2000,32000,32,1,20,,134
400,4000,8000,0,1,1,,32
225,2000,4000,8,3,6,,40
23,16000,32000,64,16,32,,489
300,768,3000,6,6,24,16.0,44
203,1000,2000,0,1,5,,24
900,1000,1000,0,1,2,37.0,11
50,4000,32000,112,52,104,,397
56,1000,4000,0,1,6,37.0,17
300,384,12000,6,1,24,,53
400,512,3500,4,1,6,,40
26,8000,16000,0,8,16,,185
200,1000,4000,0,1,4,,30
56,4000,12000,0,1,8,,42
29,8000,32000,32,8,32,,269
50,2000,16000,24,1,6,,70
115,2000,8000,16,1,3,,50
180,512,4000,0,1,3,,21
240,512,2000,8,1,5,,11
